"rgn_id","year","sector","value"
1,2010,"mmw",
1,2010,"aqf",
1,2010,"cf",539
1,2010,"se",539
1,2010,"mar",539
1,2010,"sb",539
1,2010,"tour",539
1,2010,"tran",539
1,2010,"wte",
2,2010,"mmw",
2,2010,"aqf",
2,2010,"cf",539
2,2010,"se",539
2,2010,"mar",539
2,2010,"sb",539
2,2010,"tour",539
2,2010,"tran",539
2,2010,"wte",
6,2010,"mmw",
6,2010,"aqf",
6,2010,"cf",539
6,2010,"se",539
6,2010,"mar",539
6,2010,"sb",539
6,2010,"tour",539
6,2010,"tran",
6,2010,"wte",
1,2011,"mmw",
1,2011,"aqf",
1,2011,"cf",561
1,2011,"se",561
1,2011,"mar",561
1,2011,"sb",561
1,2011,"tour",561
1,2011,"tran",561
1,2011,"wte",
2,2011,"mmw",
2,2011,"aqf",
2,2011,"cf",561
2,2011,"se",561
2,2011,"mar",561
2,2011,"sb",561
2,2011,"tour",561
2,2011,"tran",561
2,2011,"wte",
6,2011,"mmw",
6,2011,"aqf",
6,2011,"cf",561
6,2011,"se",561
6,2011,"mar",561
6,2011,"sb",561
6,2011,"tour",561
6,2011,"tran",
6,2011,"wte",
1,2012,"mmw",
1,2012,"aqf",
1,2012,"cf",609
1,2012,"se",609
1,2012,"mar",609
1,2012,"sb",609
1,2012,"tour",609
1,2012,"tran",609
1,2012,"wte",
2,2012,"mmw",
2,2012,"aqf",
2,2012,"cf",609
2,2012,"se",609
2,2012,"mar",609
2,2012,"sb",609
2,2012,"tour",609
2,2012,"tran",609
2,2012,"wte",
6,2012,"mmw",
6,2012,"aqf",
6,2012,"cf",609
6,2012,"se",609
6,2012,"mar",609
6,2012,"sb",609
6,2012,"tour",609
6,2012,"tran",
6,2012,"wte",
1,2013,"mmw",
1,2013,"aqf",
1,2013,"cf",609
1,2013,"se",609
1,2013,"mar",609
1,2013,"sb",609
1,2013,"tour",609
1,2013,"tran",609
1,2013,"wte",
2,2013,"mmw",
2,2013,"aqf",
2,2013,"cf",609
2,2013,"se",609
2,2013,"mar",609
2,2013,"sb",609
2,2013,"tour",609
2,2013,"tran",609
2,2013,"wte",
6,2013,"mmw",
6,2013,"aqf",
6,2013,"cf",609
6,2013,"se",609
6,2013,"mar",609
6,2013,"sb",609
6,2013,"tour",609
6,2013,"tran",
6,2013,"wte",
1,2014,"mmw",
1,2014,"aqf",
1,2014,"cf",637
1,2014,"se",637
1,2014,"mar",637
1,2014,"sb",637
1,2014,"tour",637
1,2014,"tran",637
1,2014,"wte",
2,2014,"mmw",
2,2014,"aqf",
2,2014,"cf",637
2,2014,"se",637
2,2014,"mar",637
2,2014,"sb",637
2,2014,"tour",637
2,2014,"tran",637
2,2014,"wte",
6,2014,"mmw",
6,2014,"aqf",
6,2014,"cf",637
6,2014,"se",637
6,2014,"mar",637
6,2014,"sb",637
6,2014,"tour",637
6,2014,"tran",
6,2014,"wte",
