"goal","dimension","region_id","score"
"AO","future",0,52.15
"AO","future",1,50.78
"AO","future",2,49.55
"AO","future",6,71.86
"AO","pressures",1,39.14
"AO","pressures",2,40.37
"AO","pressures",6,39.36
"AO","resilience",1,57.88
"AO","resilience",2,57.88
"AO","resilience",6,57.88
"AO","score",0,50.63
"AO","score",1,49.3
"AO","score",2,48.14
"AO","score",6,69.55
"AO","status",0,49.11
"AO","status",1,47.82
"AO","status",2,46.74
"AO","status",6,67.24
"AO","trend",1,0
"AO","trend",2,0
"AO","trend",6,0.01
"BD","future",0,55.84
"BD","future",1,57.73
"BD","future",2,55.06
"BD","future",6,53.98
"BD","pressures",1,
"BD","pressures",2,
"BD","pressures",6,
"BD","resilience",1,
"BD","resilience",2,
"BD","resilience",6,
"BD","score",0,71.84
"BD","score",1,74.41
"BD","score",2,71.04
"BD","score",6,67.88
"BD","status",0,87.84
"BD","status",1,91.09
"BD","status",2,87.01
"BD","status",6,81.78
"BD","trend",1,-0.6
"BD","trend",2,-0.6
"BD","trend",6,-0.6
"CP","future",0,33.92
"CP","future",1,39.05
"CP","future",2,30.96
"CP","future",6,
"CP","pressures",1,35.27
"CP","pressures",2,37.98
"CP","pressures",6,34.9
"CP","resilience",1,59.84
"CP","resilience",2,59.84
"CP","resilience",6,59.84
"CP","score",0,58.75
"CP","score",1,67.03
"CP","score",2,53.98
"CP","score",6,
"CP","status",0,83.58
"CP","status",1,95
"CP","status",2,77
"CP","status",6,
"CP","trend",1,-1
"CP","trend",2,-1
"CP","trend",6,
"CS","future",0,33.66
"CS","future",1,38.86
"CS","future",2,30.67
"CS","future",6,
"CS","pressures",1,35.89
"CS","pressures",2,39.14
"CS","pressures",6,35.45
"CS","resilience",1,59.84
"CS","resilience",2,59.84
"CS","resilience",6,59.84
"CS","score",0,58.62
"CS","score",1,66.93
"CS","score",2,53.83
"CS","score",6,
"CS","status",0,83.58
"CS","status",1,95
"CS","status",2,77
"CS","status",6,
"CS","trend",1,-1
"CS","trend",2,-1
"CS","trend",6,
"CW","future",0,18.08
"CW","future",1,23.25
"CW","future",2,14.49
"CW","future",6,21.64
"CW","pressures",1,82.16
"CW","pressures",2,82.16
"CW","pressures",6,82.16
"CW","resilience",1,67.84
"CW","resilience",2,67.84
"CW","resilience",6,67.84
"CW","score",0,41.01
"CW","score",1,52.73
"CW","score",2,32.86
"CW","score",6,49.09
"CW","status",0,63.94
"CW","status",1,82.22
"CW","status",2,51.24
"CW","status",6,76.54
"CW","trend",1,-1
"CW","trend",2,-1
"CW","trend",6,-1
"ECO","future",0,100
"ECO","future",1,100
"ECO","future",2,100
"ECO","future",6,100
"ECO","pressures",1,37.41
"ECO","pressures",2,43.98
"ECO","pressures",6,39.6
"ECO","resilience",1,47.69
"ECO","resilience",2,47.69
"ECO","resilience",6,47.69
"ECO","score",0,100
"ECO","score",1,100
"ECO","score",2,100
"ECO","score",6,100
"ECO","status",0,100
"ECO","status",1,100
"ECO","status",2,100
"ECO","status",6,100
"ECO","trend",1,1
"ECO","trend",2,1
"ECO","trend",6,1
"FIS","future",0,9.53
"FIS","future",1,7.17
"FIS","future",2,12.18
"FIS","future",6,2.04
"FIS","pressures",1,41.14
"FIS","pressures",2,43.84
"FIS","pressures",6,42.53
"FIS","resilience",1,48.32
"FIS","resilience",2,48.32
"FIS","resilience",6,48.32
"FIS","score",0,9.45
"FIS","score",1,7.08
"FIS","score",2,12.09
"FIS","score",6,2.02
"FIS","status",0,9.37
"FIS","status",1,7
"FIS","status",2,12
"FIS","status",6,2
"FIS","trend",1,0
"FIS","trend",2,0
"FIS","trend",6,0
"FP","future",0,38.95
"FP","future",1,54.51
"FP","future",2,33.59
"FP","future",6,17.93
"FP","pressures",1,
"FP","pressures",2,
"FP","pressures",6,
"FP","resilience",1,
"FP","resilience",2,
"FP","resilience",6,
"FP","score",0,38.09
"FP","score",1,54.47
"FP","score",2,32.26
"FP","score",6,17.02
"FP","status",0,37.23
"FP","status",1,54.43
"FP","status",2,30.94
"FP","status",6,16.11
"FP","trend",1,0.22
"FP","trend",2,0.09
"FP","trend",6,0.08
"HAB","future",0,28.52
"HAB","future",1,31.41
"HAB","future",2,27.5
"HAB","future",6,24.75
"HAB","pressures",1,42.28
"HAB","pressures",2,45.85
"HAB","pressures",6,41.51
"HAB","resilience",1,53.37
"HAB","resilience",2,53.37
"HAB","resilience",6,53.37
"HAB","score",0,53.85
"HAB","score",1,58.54
"HAB","score",2,52.51
"HAB","score",6,45.91
"HAB","status",0,79.18
"HAB","status",1,85.67
"HAB","status",2,77.52
"HAB","status",6,67.06
"HAB","trend",1,-1
"HAB","trend",2,-1
"HAB","trend",6,-1
"ICO","future",0,66.24
"ICO","future",1,66.86
"ICO","future",2,65.68
"ICO","future",6,67.5
"ICO","pressures",1,45.61
"ICO","pressures",2,50.72
"ICO","pressures",6,42.83
"ICO","resilience",1,53.37
"ICO","resilience",2,53.37
"ICO","resilience",6,53.37
"ICO","score",0,68.12
"ICO","score",1,68.43
"ICO","score",2,67.84
"ICO","score",6,68.75
"ICO","status",0,70
"ICO","status",1,70
