rgn_id;porcentaje distribucion provincial;;;;;;;
1;2,10%;;;;;;;
2;16,50%;;;;;;;
6;9,10%;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
