fao_saup_id,taxon_name_key,year,mean_catch
87_218,Sardinops sagax_601477,1981,255102
87_218,Sardinops sagax_601477,1982,314102
87_218,Sardinops sagax_601477,1983,104163
87_218,Sardinops sagax_601477,1984,648784
87_218,Sardinops sagax_601477,1985,1215587
87_218,Sardinops sagax_601477,1986,590258
87_218,Sardinops sagax_601477,1987,210097
87_218,Sardinops sagax_601477,1988,382337
87_218,Sardinops sagax_601477,1989,260872
87_218,Sardinops sagax_601477,1990,16895
87_218,Sardinops sagax_601477,1991,3377
87_218,Sardinops sagax_601477,1992,212
87_218,Sardinops sagax_601477,1993,0
87_218,Sardinops sagax_601477,1994,212
87_218,Sardinops sagax_601477,1995,34609
87_218,Sardinops sagax_601477,1996,356477
87_218,Sardinops sagax_601477,1997,56096
87_218,Sardinops sagax_601477,1998,1012
87_218,Sardinops sagax_601477,1999,8821
87_218,Sardinops sagax_601477,2000,51440
87_218,Sardinops sagax_601477,2001,42097
87_218,Sardinops sagax_601477,2002,1924
87_218,Sardinops sagax_601477,2003,632
87_218,Sardinops sagax_601477,2004,543
87_218,Sardinops sagax_601477,2005,4
87_218,Sardinops sagax_601477,2006,9
87_218,Sardinops sagax_601477,2007,0
87_218,Sardinops sagax_601477,2008,0
87_218,Sardinops sagax_601477,2009,0
87_218,Sardinops sagax_601477,2010,0
87_218,Sardinops sagax_601477,2011,0
87_218,Sardinops sagax_601477,2012,0
87_218,Sardinops sagax_601477,2013,0
87_218,Etrumeus teres_601455,1981,266177
87_218,Etrumeus teres_601455,1982,25547
87_218,Etrumeus teres_601455,1983,79339
87_218,Etrumeus teres_601455,1984,52025
87_218,Etrumeus teres_601455,1985,40739
87_218,Etrumeus teres_601455,1986,29209
87_218,Etrumeus teres_601455,1987,14373
87_218,Etrumeus teres_601455,1988,9215
87_218,Etrumeus teres_601455,1989,838
87_218,Etrumeus teres_601455,1990,5471
87_218,Etrumeus teres_601455,1991,17180
87_218,Etrumeus teres_601455,1992,9688
87_218,Etrumeus teres_601455,1993,57663
87_218,Etrumeus teres_601455,1994,30748
87_218,Etrumeus teres_601455,1995,46253
87_218,Etrumeus teres_601455,1996,34349
87_218,Etrumeus teres_601455,1997,1095
87_218,Etrumeus teres_601455,1998,8873
87_218,Etrumeus teres_601455,1999,3636
87_218,Etrumeus teres_601455,2000,4415
87_218,Etrumeus teres_601455,2001,28
87_218,Etrumeus teres_601455,2002,613
87_218,Etrumeus teres_601455,2003,1068
87_218,Etrumeus teres_601455,2004,4901
87_218,Etrumeus teres_601455,2005,4629
87_218,Etrumeus teres_601455,2006,432
87_218,Etrumeus teres_601455,2007,520
87_218,Etrumeus teres_601455,2008,2632
87_218,Etrumeus teres_601455,2009,1154
87_218,Etrumeus teres_601455,2010,1903
87_218,Etrumeus teres_601455,2011,1760
87_218,Etrumeus teres_601455,2012,1653
87_218,Etrumeus teres_601455,2013,2650
87_218,Opisthonema libertate_601484,1981,68390
87_218,Opisthonema libertate_601484,1982,219849
87_218,Opisthonema libertate_601484,1983,69155
87_218,Opisthonema libertate_601484,1984,182074
87_218,Opisthonema libertate_601484,1985,328074
87_218,Opisthonema libertate_601484,1986,297721
87_218,Opisthonema libertate_601484,1987,240577
87_218,Opisthonema libertate_601484,1988,206766
87_218,Opisthonema libertate_601484,1989,189789
87_218,Opisthonema libertate_601484,1990,98632
87_218,Opisthonema libertate_601484,1991,91622
87_218,Opisthonema libertate_601484,1992,31016
87_218,Opisthonema libertate_601484,1993,69247
87_218,Opisthonema libertate_601484,1994,69892
87_218,Opisthonema libertate_601484,1995,40910
87_218,Opisthonema libertate_601484,1996,41041
87_218,Opisthonema libertate_601484,1997,37723
87_218,Opisthonema libertate_601484,1998,40530
87_218,Opisthonema libertate_601484,1999,22253
87_218,Opisthonema libertate_601484,2000,20037
87_218,Opisthonema libertate_601484,2001,20071
87_218,Opisthonema libertate_601484,2002,10952
87_218,Opisthonema libertate_601484,2003,6895
87_218,Opisthonema libertate_601484,2004,8590
87_218,Opisthonema libertate_601484,2005,8282
87_218,Opisthonema libertate_601484,2006,16851
87_218,Opisthonema libertate_601484,2007,14153
87_218,Opisthonema libertate_601484,2008,25263
87_218,Opisthonema libertate_601484,2009,22527
87_218,Opisthonema libertate_601484,2010,35849
87_218,Opisthonema libertate_601484,2011,20273
87_218,Opisthonema libertate_601484,2012,33089
87_218,Opisthonema libertate_601484,2013,13191
87_218,Cetengraulis mysticetus_600548,1981,2832
87_218,Cetengraulis mysticetus_600548,1982,2832
87_218,Cetengraulis mysticetus_600548,1983,40384
87_218,Cetengraulis mysticetus_600548,1984,54029
87_218,Cetengraulis mysticetus_600548,1985,5788
87_218,Cetengraulis mysticetus_600548,1986,74246
87_218,Cetengraulis mysticetus_600548,1987,126420
87_218,Cetengraulis mysticetus_600548,1988,84346
87_218,Cetengraulis mysticetus_600548,1989,63433
87_218,Cetengraulis mysticetus_600548,1990,30996
87_218,Cetengraulis mysticetus_600548,1991,59637
87_218,Cetengraulis mysticetus_600548,1992,99672
87_218,Cetengraulis mysticetus_600548,1993,101683
87_218,Cetengraulis mysticetus_600548,1994,27164
87_218,Cetengraulis mysticetus_600548,1995,47660
87_218,Cetengraulis mysticetus_600548,1996,26354
87_218,Cetengraulis mysticetus_600548,1997,89723
87_218,Cetengraulis mysticetus_600548,1998,44474
87_218,Cetengraulis mysticetus_600548,1999,27221
87_218,Cetengraulis mysticetus_600548,2000,13333
87_218,Cetengraulis mysticetus_600548,2001,73289
87_218,Cetengraulis mysticetus_600548,2002,18288
87_218,Cetengraulis mysticetus_600548,2003,19492
87_218,Cetengraulis mysticetus_600548,2004,5061
87_218,Cetengraulis mysticetus_600548,2005,9672
87_218,Cetengraulis mysticetus_600548,2006,12332
87_218,Cetengraulis mysticetus_600548,2007,1079
87_218,Cetengraulis mysticetus_600548,2008,26928
87_218,Cetengraulis mysticetus_600548,2009,7586
87_218,Cetengraulis mysticetus_600548,2010,741
87_218,Cetengraulis mysticetus_600548,2011,13012
87_218,Cetengraulis mysticetus_600548,2012,2758
87_218,Cetengraulis mysticetus_600548,2013,6535
87_218,Engraulis ringens_600004,2001,2065
87_218,Engraulis ringens_600004,2002,71013
87_218,Engraulis ringens_600004,2003,33382
87_218,Engraulis ringens_600004,2004,11273
87_218,Engraulis ringens_600004,2005,39908
87_218,Engraulis ringens_600004,2006,76606
87_218,Engraulis ringens_600004,2007,59309
87_218,Engraulis ringens_600004,2008,44566
87_218,Engraulis ringens_600004,2009,20152
87_218,Engraulis ringens_600004,2010,0
87_218,Engraulis ringens_600004,2011,2977
87_218,Engraulis ringens_600004,2012,12109
87_218,Engraulis ringens_600004,2013,2
87_218,Anchoa spp.,2004,40694
87_218,Anchoa spp.,2005,31742
87_218,Anchoa spp.,2006,26953
87_218,Anchoa spp.,2007,3185440
87_218,Anchoa spp.,2008,39111
87_218,Anchoa spp.,2009,21235
87_218,Anchoa spp.,2010,33975
87_218,Anchoa spp.,2011,19938
87_218,Anchoa spp.,2012,7929
87_218,Anchoa spp.,2013,194
87_218,Scomber japonicus_600117,1981,448088
87_218,Scomber japonicus_600117,1982,589375
87_218,Scomber japonicus_600117,1983,252667
87_218,Scomber japonicus_600117,1984,396913
87_218,Scomber japonicus_600117,1985,397863
87_218,Scomber japonicus_600117,1986,274852
87_218,Scomber japonicus_600117,1987,149302
