id,stock_id,res,ct,yr
11,Sardinops sagax,Medium,9,2006
11,Sardinops sagax,Medium,4,2005
11,Sardinops sagax,Medium,543,2004
11,Sardinops sagax,Medium,632,2003
11,Sardinops sagax,Medium,1924,2002
11,Sardinops sagax,Medium,42097,2001
11,Sardinops sagax,Medium,51440,2000
11,Sardinops sagax,Medium,8821,1999
11,Sardinops sagax,Medium,1012,1998
11,Sardinops sagax,Medium,56096,1997
11,Sardinops sagax,Medium,356477,1996
11,Sardinops sagax,Medium,34609,1995
11,Sardinops sagax,Medium,212,1994
11,Sardinops sagax,Medium,0,1993
11,Sardinops sagax,Medium,212,1992
11,Sardinops sagax,Medium,3377,1991
11,Sardinops sagax,Medium,16895,1990
11,Sardinops sagax,Medium,260872,1989
11,Sardinops sagax,Medium,382337,1988
11,Sardinops sagax,Medium,210097,1987
11,Sardinops sagax,Medium,590258,1986
11,Sardinops sagax,Medium,1215587,1985
11,Sardinops sagax,Medium,648784,1984
11,Sardinops sagax,Medium,104163,1983
11,Sardinops sagax,Medium,314102,1982
11,Sardinops sagax,Medium,255102,1981
12,Sardinops sagax2,Medium,0,2014
12,Sardinops sagax2,Medium,0,2013
12,Sardinops sagax2,Medium,0,2012
12,Sardinops sagax2,Medium,0,2011
12,Sardinops sagax2,Medium,0,2010
12,Sardinops sagax2,Medium,0,2009
12,Sardinops sagax2,Medium,0,2008
12,Sardinops sagax2,Medium,0,2007
12,Sardinops sagax2,Medium,9,2006
12,Sardinops sagax2,Medium,4,2005
12,Sardinops sagax2,Medium,543,2004
12,Sardinops sagax2,Medium,632,2003
12,Sardinops sagax2,Medium,1924,2002
12,Sardinops sagax2,Medium,42097,2001
12,Sardinops sagax2,Medium,51440,2000
12,Sardinops sagax2,Medium,8821,1999
12,Sardinops sagax2,Medium,1012,1998
12,Sardinops sagax2,Medium,56096,1997
12,Sardinops sagax2,Medium,356477,1996
12,Sardinops sagax2,Medium,34609,1995
12,Sardinops sagax2,Medium,212,1994
12,Sardinops sagax2,Medium,0,1993
12,Sardinops sagax2,Medium,212,1992
12,Sardinops sagax2,Medium,3377,1991
12,Sardinops sagax2,Medium,16895,1990
12,Sardinops sagax2,Medium,260872,1989
12,Sardinops sagax2,Medium,382337,1988
12,Sardinops sagax2,Medium,210097,1987
12,Sardinops sagax2,Medium,590258,1986
12,Sardinops sagax2,Medium,1215587,1985
12,Sardinops sagax2,Medium,648784,1984
12,Sardinops sagax2,Medium,104163,1983
12,Sardinops sagax2,Medium,314102,1982
12,Sardinops sagax2,Medium,255102,1981
21,Etrumeus teres,Medium,2650,2013
21,Etrumeus teres,Medium,1653,2012
21,Etrumeus teres,Medium,1760,2011
21,Etrumeus teres,Medium,1902.7,2010
21,Etrumeus teres,Medium,1154,2009
21,Etrumeus teres,Medium,2632.42,2008
21,Etrumeus teres,Medium,520,2007
21,Etrumeus teres,Medium,432,2006
21,Etrumeus teres,Medium,4629,2005
21,Etrumeus teres,Medium,4901,2004
21,Etrumeus teres,Medium,1068,2003
21,Etrumeus teres,Medium,613,2002
21,Etrumeus teres,Medium,28,2001
21,Etrumeus teres,Medium,4415,2000
21,Etrumeus teres,Medium,3636,1999
21,Etrumeus teres,Medium,8873,1998
21,Etrumeus teres,Medium,1095,1997
21,Etrumeus teres,Medium,34349,1996
21,Etrumeus teres,Medium,46253,1995
21,Etrumeus teres,Medium,30748,1994
21,Etrumeus teres,Medium,57663,1993
21,Etrumeus teres,Medium,9688,1992
21,Etrumeus teres,Medium,17180,1991
21,Etrumeus teres,Medium,5471,1990
21,Etrumeus teres,Medium,838,1989
21,Etrumeus teres,Medium,9215,1988
21,Etrumeus teres,Medium,14373,1987
21,Etrumeus teres,Medium,29209,1986
21,Etrumeus teres,Medium,40739,1985
21,Etrumeus teres,Medium,52025,1984
21,Etrumeus teres,Medium,79339,1983
21,Etrumeus teres,Medium,25547,1982
21,Etrumeus teres,Medium,266177,1981
31,Cetengraulis mysticetus,High,6535,2013
31,Cetengraulis mysticetus,High,2758,2012
31,Cetengraulis mysticetus,High,13012,2011
31,Cetengraulis mysticetus,High,741.29,2010
31,Cetengraulis mysticetus,High,7586,2009
31,Cetengraulis mysticetus,High,26928.03,2008
31,Cetengraulis mysticetus,High,1079,2007
31,Cetengraulis mysticetus,High,12332,2006
31,Cetengraulis mysticetus,High,9672,2005
31,Cetengraulis mysticetus,High,5061,2004
31,Cetengraulis mysticetus,High,19492,2003
31,Cetengraulis mysticetus,High,18288,2002
31,Cetengraulis mysticetus,High,73289,2001
31,Cetengraulis mysticetus,High,13333,2000
31,Cetengraulis mysticetus,High,27221,1999
31,Cetengraulis mysticetus,High,44474,1998
31,Cetengraulis mysticetus,High,89723,1997
31,Cetengraulis mysticetus,High,26354,1996
31,Cetengraulis mysticetus,High,47660,1995
31,Cetengraulis mysticetus,High,27164,1994
31,Cetengraulis mysticetus,High,101683,1993
31,Cetengraulis mysticetus,High,99672,1992
31,Cetengraulis mysticetus,High,59637,1991
31,Cetengraulis mysticetus,High,30996,1990
31,Cetengraulis mysticetus,High,63433,1989
31,Cetengraulis mysticetus,High,84346,1988
31,Cetengraulis mysticetus,High,126420,1987
31,Cetengraulis mysticetus,High,74246,1986
31,Cetengraulis mysticetus,High,5788,1985
31,Cetengraulis mysticetus,High,54029,1984
31,Cetengraulis mysticetus,High,40384,1983
31,Cetengraulis mysticetus,High,2832,1982
31,Cetengraulis mysticetus,High,2832,1981
41,Engraulis ringens,Medium,2,2013
41,Engraulis ringens,Medium,12109,2012
41,Engraulis ringens,Medium,2977,2011
41,Engraulis ringens,Medium,13348,2010
41,Engraulis ringens,Medium,20152,2009
