year;Santa Elena;Guayas;El Oro
2002;1,28%;32,75%;5,19%
2003;1,34%;32,42%;5,42%
2004;1,10%;33,10%;4,49%
2005;1,11%;31,87%;4,75%
2006;0,67%;32,52%;4,69%
2007;0,65%;33,55%;4,77%
2008;1,37%;32,52%;5,68%
2009;0,90%;34,24%;4,90%
2010;1,05%;33,56%;4,86%
